Element,Wavelength,Intensity
C III,5697.496,1.217
Ca II,3934.777,1.008
Fe I,4144.583,0.967
Fe I,4271.076,0.973
H I,4102.892,0.702
H I,4341.684,0.724
H I,4862.683,0.756
H I,6564.610,1.272
He I,4144.928,0.967
He I,4714.458,0.942
He I,4389.162,0.946
He I,5017.077,0.958
He I,4010.390,0.966
He I,5049.146,0.969
He I,4472.729,0.858
He I,4027.322,0.878
He I,4025.117,0.939
He I,4923.305,0.963
He I,5877.227,0.791
He I,4121.973,0.956
He II,4026.739,0.878
He II,4687.020,1.061
He II,4860.677,0.792
He II,4101.198,0.803
He II,4201.015,0.908
He II,4542.864,0.887
He II,4339.891,0.904
He II,5413.030,0.872
Mg II,4482.383,0.967
N III,4641.940,1.169
N III,4635.420,1.125
Si II,4129.218,1.006
Si III,4553.898,1.007
Si IV,4486.960,1.034
Si IV,4117.265,0.961
Si IV,4090.016,0.893
Si IV,4505.340,1.071
