0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Element,,,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,H I,H I,H I,He I,He I,He I,He I,He I,He I,He I,He II,He II,Mg I,Mg I,Mg I,Mg II,N II,N III,O II,Si II,Si III,Si IV
,Wavelength,,4227.918,3934.777,4255.534,4276.0,4290.924,4045.04,4046.955,4064.848,4072.67,4144.583,4172.077,4250.78,4271.076,4326.978,3971.195,4102.892,4341.684,4862.683,6564.61,4010.39,4025.117,4121.973,4144.928,4389.162,4472.729,5049.146,4201.015,4339.891,5168.761,5174.125,5185.048,4482.383,3995.373,4635.42,4416.138,4129.218,4553.898,4486.96
,,Intensity,0.189,0.088,0.577,0.648,0.528,0.695,0.194,0.239,0.31,0.492,0.676,0.613,0.667,0.391,0.185,0.254,0.326,0.227,0.244,0.741,0.661,0.841,0.492,0.755,0.747,0.784,0.718,0.578,0.435,0.334,0.317,0.646,0.72,0.841,0.433,0.661,0.711,0.832
Ca I,4227.918,0.189,,2.15,0.33,0.29,0.36,0.27,0.97,0.79,0.61,0.38,0.28,0.31,0.28,0.48,1.02,0.74,0.58,0.83,0.77,0.26,0.29,0.22,0.38,0.25,0.25,0.24,0.26,0.33,0.43,0.57,0.60,0.29,0.26,0.22,0.44,0.29,0.27,0.23
Ca II,3934.777,0.088,0.47,,0.15,0.14,0.17,0.13,0.45,0.37,0.28,0.18,0.13,0.14,0.13,0.23,0.48,0.35,0.27,0.39,0.36,0.12,0.13,0.10,0.18,0.12,0.12,0.11,0.12,0.15,0.20,0.26,0.28,0.14,0.12,0.10,0.20,0.13,0.12,0.11
Cr I,4255.534,0.577,3.05,6.56,,0.89,1.09,0.83,2.97,2.41,1.86,1.17,0.85,0.94,0.87,1.48,3.12,2.27,1.77,2.54,2.36,0.78,0.87,0.69,1.17,0.76,0.77,0.74,0.80,1.00,1.33,1.73,1.82,0.89,0.80,0.69,1.33,0.87,0.81,0.69
Cr I,4276.0,0.648,3.43,7.36,1.12,,1.23,0.93,3.34,2.71,2.09,1.32,0.96,1.06,0.97,1.66,3.50,2.55,1.99,2.85,2.66,0.87,0.98,0.77,1.32,0.86,0.87,0.83,0.90,1.12,1.49,1.94,2.04,1.00,0.90,0.77,1.50,0.98,0.91,0.78
Cr I,4290.924,0.528,2.79,6.00,0.92,0.81,,0.76,2.72,2.21,1.70,1.07,0.78,0.86,0.79,1.35,2.85,2.08,1.62,2.33,2.16,0.71,0.80,0.63,1.07,0.70,0.71,0.67,0.74,0.91,1.21,1.58,1.67,0.82,0.73,0.63,1.22,0.80,0.74,0.63
Fe I,4045.04,0.695,3.68,7.90,1.20,1.07,1.32,,3.58,2.91,2.24,1.41,1.03,1.13,1.04,1.78,3.76,2.74,2.13,3.06,2.85,0.94,1.05,0.83,1.41,0.92,0.93,0.89,0.97,1.20,1.60,2.08,2.19,1.08,0.97,0.83,1.61,1.05,0.98,0.84
Fe I,4046.955,0.194,1.03,2.20,0.34,0.30,0.37,0.28,,0.81,0.63,0.39,0.29,0.32,0.29,0.50,1.05,0.76,0.60,0.85,0.80,0.26,0.29,0.23,0.39,0.26,0.26,0.25,0.27,0.34,0.45,0.58,0.61,0.30,0.27,0.23,0.45,0.29,0.27,0.23
