Element,Wavelength,Intensity
Ca I,4260.636,0.489
Ca II,3934.777,0.014
Cr I,4255.534,0.486
Cr I,4276.000,0.664
Cr I,4290.924,0.469
Fe I,4045.040,0.086
Fe I,4046.955,0.288
Fe I,4064.848,0.332
Fe I,4072.670,0.392
Fe I,4144.583,0.645
Fe I,4172.077,0.374
Fe I,4271.076,0.307
Fe I,4326.978,0.702
Fe I,4383.990,0.302
H I,4102.892,0.576
H I,4341.684,0.673
He I,4010.390,0.223
He I,4025.117,0.273
He I,4027.322,0.194
He I,4121.973,0.442
He I,4144.928,0.645
He I,4170.147,0.598
He I,4389.162,0.520
He I,4714.458,0.735
He I,5017.077,0.329
He I,5049.146,0.574
He II,4026.739,0.194
He II,4201.015,0.279
He II,4339.891,0.117
He II,4542.864,0.552
He II,4860.677,0.129
He II,5413.030,0.650
Mg I,5168.761,0.312
Mg I,5185.048,0.654
N II,3995.373,0.112
N III,4635.420,0.714
N III,4641.940,0.661
O II,4416.138,0.403
Si II,4129.218,0.384
Si III,4553.898,0.673
Si IV,4090.016,0.670
Si IV,4117.265,0.345
Si IV,4486.960,0.563
Si IV,4505.340,0.727
