0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
Element,,,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He II,He II,He II,He II,He II,He II,Mg I,Mg I,N II,N III,N III,O II,Si II,Si III,Si IV,Si IV,Si IV,Si IV
,Wavelength,,4260.636,3934.777,4255.534,4276.0,4290.924,4045.04,4046.955,4064.848,4072.67,4144.583,4172.077,4271.076,4326.978,4383.99,4102.892,4341.684,4010.39,4025.117,4027.322,4121.973,4144.928,4170.147,4389.162,4714.458,5017.077,5049.146,4026.739,4201.015,4339.891,4542.864,4860.677,5413.03,5168.761,5185.048,3995.373,4635.42,4641.94,4416.138,4129.218,4553.898,4090.016,4117.265,4486.96,4505.34
,,Intensity,0.489,0.014,0.486,0.664,0.469,0.086,0.288,0.332,0.392,0.645,0.374,0.307,0.702,0.302,0.576,0.673,0.223,0.273,0.194,0.442,0.645,0.598,0.52,0.735,0.329,0.574,0.194,0.279,0.117,0.552,0.129,0.65,0.312,0.654,0.112,0.714,0.661,0.403,0.384,0.673,0.67,0.345,0.563,0.727
Ca I,4260.636,0.489,,34.93,1.01,0.74,1.04,5.69,1.70,1.47,1.25,0.76,1.31,1.59,0.70,1.62,0.85,0.73,2.19,1.79,2.52,1.11,0.76,0.82,0.94,0.67,1.49,0.85,2.52,1.75,4.18,0.89,3.79,0.75,1.57,0.75,4.37,0.68,0.74,1.21,1.27,0.73,0.73,1.42,0.87,0.67
Ca II,3934.777,0.014,0.03,,0.03,0.02,0.03,0.16,0.05,0.04,0.04,0.02,0.04,0.05,0.02,0.05,0.02,0.02,0.06,0.05,0.07,0.03,0.02,0.02,0.03,0.02,0.04,0.02,0.07,0.05,0.12,0.03,0.11,0.02,0.04,0.02,0.12,0.02,0.02,0.03,0.04,0.02,0.02,0.04,0.02,0.02
Cr I,4255.534,0.486,0.99,34.71,,0.73,1.04,5.65,1.69,1.46,1.24,0.75,1.30,1.58,0.69,1.61,0.84,0.72,2.18,1.78,2.51,1.10,0.75,0.81,0.93,0.66,1.48,0.85,2.51,1.74,4.15,0.88,3.77,0.75,1.56,0.74,4.34,0.68,0.74,1.21,1.27,0.72,0.73,1.41,0.86,0.67
Cr I,4276.0,0.664,1.36,47.43,1.37,,1.42,7.72,2.31,2.00,1.69,1.03,1.78,2.16,0.95,2.20,1.15,0.99,2.98,2.43,3.42,1.50,1.03,1.11,1.28,0.90,2.02,1.16,3.42,2.38,5.68,1.20,5.15,1.02,2.13,1.02,5.93,0.93,1.00,1.65,1.73,0.99,0.99,1.92,1.18,0.91
Cr I,4290.924,0.469,0.96,33.50,0.97,0.71,,5.45,1.63,1.41,1.20,0.73,1.25,1.53,0.67,1.55,0.81,0.70,2.10,1.72,2.42,1.06,0.73,0.78,0.90,0.64,1.43,0.82,2.42,1.68,4.01,0.85,3.64,0.72,1.50,0.72,4.19,0.66,0.71,1.16,1.22,0.70,0.70,1.36,0.83,0.65
Fe I,4045.04,0.086,0.18,6.14,0.18,0.13,0.18,,0.30,0.26,0.22,0.13,0.23,0.28,0.12,0.28,0.15,0.13,0.39,0.32,0.44,0.19,0.13,0.14,0.17,0.12,0.26,0.15,0.44,0.31,0.74,0.16,0.67,0.13,0.28,0.13,0.77,0.12,0.13,0.21,0.22,0.13,0.13,0.25,0.15,0.12
Fe I,4046.955,0.288,0.59,20.57,0.59,0.43,0.61,3.35,,0.87,0.73,0.45,0.77,0.94,0.41,0.95,0.50,0.43,1.29,1.05,1.48,0.65,0.45,0.48,0.55,0.39,0.88,0.50,1.48,1.03,2.46,0.52,2.23,0.44,0.92,0.44,2.57,0.40,0.44,0.71,0.75,0.43,0.43,0.83,0.51,0.40
