0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Element,,,Ca I,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,H I,H I,H I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He II,He II,He II,He II,He II,He II,He II,Mg I,Mg I,Mg I,Mg II,O II,Si II,Si III
,Wavelength,,4227.918,4260.636,3934.777,4255.534,4276.0,4290.924,4045.04,4046.955,4064.848,4072.67,4144.583,4172.077,4271.076,4326.978,4383.99,3971.195,4102.892,4341.684,4862.683,6564.61,4010.39,4025.117,4027.322,4121.973,4144.928,4170.147,4389.162,4472.729,4923.305,5017.077,5049.146,4026.739,4101.198,4201.015,4339.891,4542.864,4860.677,5413.03,5168.761,5174.125,5185.048,4482.383,4416.138,4129.218,4553.898
,,Intensity,0.202,0.296,0.077,0.516,0.417,0.444,0.572,0.203,0.248,0.287,0.326,0.78,0.586,0.222,0.196,0.201,0.359,0.26,0.246,0.234,0.693,0.665,0.79,0.745,0.326,0.725,0.72,0.783,0.775,0.817,0.789,0.79,0.618,0.642,0.663,0.822,0.628,0.747,0.327,0.384,0.289,0.708,0.419,0.564,0.761
Ca I,4227.918,0.202,,0.68,2.62,0.39,0.48,0.45,0.35,1.00,0.81,0.70,0.62,0.26,0.34,0.91,1.03,1.00,0.56,0.78,0.82,0.86,0.29,0.30,0.26,0.27,0.62,0.28,0.28,0.26,0.26,0.25,0.26,0.26,0.33,0.31,0.30,0.25,0.32,0.27,0.62,0.53,0.70,0.29,0.48,0.36,0.27
Ca I,4260.636,0.296,1.47,,3.84,0.57,0.71,0.67,0.52,1.46,1.19,1.03,0.91,0.38,0.51,1.33,1.51,1.47,0.82,1.14,1.20,1.26,0.43,0.45,0.37,0.40,0.91,0.41,0.41,0.38,0.38,0.36,0.38,0.37,0.48,0.46,0.45,0.36,0.47,0.40,0.91,0.77,1.02,0.42,0.71,0.52,0.39
Ca II,3934.777,0.077,0.38,0.26,,0.15,0.18,0.17,0.13,0.38,0.31,0.27,0.24,0.10,0.13,0.35,0.39,0.38,0.21,0.30,0.31,0.33,0.11,0.12,0.10,0.10,0.24,0.11,0.11,0.10,0.10,0.09,0.10,0.10,0.12,0.12,0.12,0.09,0.12,0.10,0.24,0.20,0.27,0.11,0.18,0.14,0.10
Cr I,4255.534,0.516,2.55,1.74,6.70,,1.24,1.16,0.90,2.54,2.08,1.80,1.58,0.66,0.88,2.32,2.63,2.57,1.44,1.98,2.10,2.21,0.74,0.78,0.65,0.69,1.58,0.71,0.72,0.66,0.67,0.63,0.65,0.65,0.83,0.80,0.78,0.63,0.82,0.69,1.58,1.34,1.79,0.73,1.23,0.91,0.68
Cr I,4276.0,0.417,2.06,1.41,5.42,0.81,,0.94,0.73,2.05,1.68,1.45,1.28,0.53,0.71,1.88,2.13,2.07,1.16,1.60,1.70,1.78,0.60,0.63,0.53,0.56,1.28,0.58,0.58,0.53,0.54,0.51,0.53,0.53,0.67,0.65,0.63,0.51,0.66,0.56,1.28,1.09,1.44,0.59,1.00,0.74,0.55
Cr I,4290.924,0.444,2.20,1.50,5.77,0.86,1.06,,0.78,2.19,1.79,1.55,1.36,0.57,0.76,2.00,2.27,2.21,1.24,1.71,1.80,1.90,0.64,0.67,0.56,0.60,1.36,0.61,0.62,0.57,0.57,0.54,0.56,0.56,0.72,0.69,0.67,0.54,0.71,0.59,1.36,1.16,1.54,0.63,1.06,0.79,0.58
Fe I,4045.04,0.572,2.83,1.93,7.43,1.11,1.37,1.29,,2.82,2.31,1.99,1.75,0.73,0.98,2.58,2.92,2.85,1.59,2.20,2.33,2.44,0.83,0.86,0.72,0.77,1.75,0.79,0.79,0.73,0.74,0.70,0.72,0.72,0.93,0.89,0.86,0.70,0.91,0.77,1.75,1.49,1.98,0.81,1.37,1.01,0.75
Fe I,4046.955,0.203,1.00,0.69,2.64,0.39,0.49,0.46,0.35,,0.82,0.71,0.62,0.26,0.35,0.91,1.04,1.01,0.57,0.78,0.83,0.87,0.29,0.31,0.26,0.27,0.62,0.28,0.28,0.26,0.26,0.25,0.26,0.26,0.33,0.32,0.31,0.25,0.32,0.27,0.62,0.53,0.70,0.29,0.48,0.36,0.27
Fe I,4064.848,0.248,1.23,0.84,3.22,0.48,0.59,0.56,0.43,1.22,,0.86,0.76,0.32,0.42,1.12,1.27,1.23,0.69,0.95,1.01,1.06,0.36,0.37,0.31,0.33,0.76,0.34,0.34,0.32,0.32,0.30,0.31,0.31,0.40,0.39,0.37,0.30,0.39,0.33,0.76,0.65,0.86,0.35,0.59,0.44,0.33
Fe I,4072.67,0.287,1.42,0.97,3.73,0.56,0.69,0.65,0.50,1.41,1.16,,0.88,0.37,0.49,1.29,1.46,1.43,0.80,1.10,1.17,1.23,0.41,0.43,0.36,0.39,0.88,0.40,0.40,0.37,0.37,0.35,0.36,0.36,0.46,0.45,0.43,0.35,0.46,0.38,0.88,0.75,0.99,0.41,0.68,0.51,0.38
Fe I,4144.583,0.326,1.61,1.10,4.23,0.63,0.78,0.73,0.57,1.61,1.31,1.14,,0.42,0.56,1.47,1.66,1.62,0.91,1.25,1.33,1.39,0.47,0.49,0.41,0.44,1.00,0.45,0.45,0.42,0.42,0.40,0.41,0.41,0.53,0.51,0.49,0.40,0.52,0.44,1.00,0.85,1.13,0.46,0.78,0.58,0.43
Fe I,4172.077,0.78,3.86,2.64,10.13,1.51,1.87,1.76,1.36,3.84,3.15,2.72,2.39,,1.33,3.51,3.98,3.88,2.17,3.00,3.17,3.33,1.13,1.17,0.99,1.05,2.39,1.08,1.08,1.00,1.01,0.95,0.99,0.99,1.26,1.21,1.18,0.95,1.24,1.04,2.39,2.03,2.70,1.10,1.86,1.38,1.02
Fe I,4271.076,0.586,2.90,1.98,7.61,1.14,1.41,1.32,1.02,2.89,2.36,2.04,1.80,0.75,,2.64,2.99,2.92,1.63,2.25,2.38,2.50,0.85,0.88,0.74,0.79,1.80,0.81,0.81,0.75,0.76,0.72,0.74,0.74,0.95,0.91,0.88,0.71,0.93,0.78,1.79,1.53,2.03,0.83,1.40,1.04,0.77
Fe I,4326.978,0.222,1.10,0.75,2.88,0.43,0.53,0.50,0.39,1.09,0.90,0.77,0.68,0.28,0.38,,1.13,1.10,0.62,0.85,0.90,0.95,0.32,0.33,0.28,0.30,0.68,0.31,0.31,0.28,0.29,0.27,0.28,0.28,0.36,0.35,0.33,0.27,0.35,0.30,0.68,0.58,0.77,0.31,0.53,0.39,0.29
Fe I,4383.99,0.196,0.97,0.66,2.55,0.38,0.47,0.44,0.34,0.97,0.79,0.68,0.60,0.25,0.33,0.88,,0.98,0.55,0.75,0.80,0.84,0.28,0.29,0.25,0.26,0.60,0.27,0.27,0.25,0.25,0.24,0.25,0.25,0.32,0.31,0.30,0.24,0.31,0.26,0.60,0.51,0.68,0.28,0.47,0.35,0.26
H I,3971.195,0.201,1.00,0.68,2.61,0.39,0.48,0.45,0.35,0.99,0.81,0.70,0.62,0.26,0.34,0.91,1.03,,0.56,0.77,0.82,0.86,0.29,0.30,0.25,0.27,0.62,0.28,0.28,0.26,0.26,0.25,0.25,0.25,0.33,0.31,0.30,0.24,0.32,0.27,0.61,0.52,0.70,0.28,0.48,0.36,0.26
H I,4102.892,0.359,1.78,1.21,4.66,0.70,0.86,0.81,0.63,1.77,1.45,1.25,1.10,0.46,0.61,1.62,1.83,1.79,,1.38,1.46,1.53,0.52,0.54,0.45,0.48,1.10,0.50,0.50,0.46,0.46,0.44,0.46,0.45,0.58,0.56,0.54,0.44,0.57,0.48,1.10,0.93,1.24,0.51,0.86,0.64,0.47
H I,4341.684,0.26,1.29,0.88,3.38,0.50,0.62,0.59,0.45,1.28,1.05,0.91,0.80,0.33,0.44,1.17,1.33,1.29,0.72,,1.06,1.11,0.38,0.39,0.33,0.35,0.80,0.36,0.36,0.33,0.34,0.32,0.33,0.33,0.42,0.40,0.39,0.32,0.41,0.35,0.80,0.68,0.90,0.37,0.62,0.46,0.34
H I,4862.683,0.246,1.22,0.83,3.19,0.48,0.59,0.55,0.43,1.21,0.99,0.86,0.75,0.32,0.42,1.11,1.26,1.22,0.69,0.95,,1.05,0.35,0.37,0.31,0.33,0.75,0.34,0.34,0.31,0.32,0.30,0.31,0.31,0.40,0.38,0.37,0.30,0.39,0.33,0.75,0.64,0.85,0.35,0.59,0.44,0.32
H I,6564.61,0.234,1.16,0.79,3.04,0.45,0.56,0.53,0.41,1.15,0.94,0.82,0.72,0.30,0.40,1.05,1.19,1.16,0.65,0.90,0.95,,0.34,0.35,0.30,0.31,0.72,0.32,0.33,0.30,0.30,0.29,0.30,0.30,0.38,0.36,0.35,0.28,0.37,0.31,0.72,0.61,0.81,0.33,0.56,0.41,0.31
He I,4010.39,0.693,3.43,2.34,9.00,1.34,1.66,1.56,1.21,3.41,2.79,2.41,2.13,0.89,1.18,3.12,3.54,3.45,1.93,2.67,2.82,2.96,,1.04,0.88,0.93,2.13,0.96,0.96,0.89,0.89,0.85,0.88,0.88,1.12,1.08,1.05,0.84,1.10,0.93,2.12,1.80,2.40,0.98,1.65,1.23,0.91
He I,4025.117,0.665,3.29,2.25,8.64,1.29,1.59,1.50,1.16,3.28,2.68,2.32,2.04,0.85,1.13,3.00,3.39,3.31,1.85,2.56,2.70,2.84,0.96,,0.84,0.89,2.04,0.92,0.92,0.85,0.86,0.81,0.84,0.84,1.08,1.04,1.00,0.81,1.06,0.89,2.03,1.73,2.30,0.94,1.59,1.18,0.87
He I,4027.322,0.79,3.91,2.67,10.26,1.53,1.89,1.78,1.38,3.89,3.19,2.75,2.42,1.01,1.35,3.56,4.03,3.93,2.20,3.04,3.21,3.38,1.14,1.19,,1.06,2.42,1.09,1.10,1.01,1.02,0.97,1.00,1.00,1.28,1.23,1.19,0.96,1.26,1.06,2.42,2.06,2.73,1.12,1.89,1.40,1.04
