Element,Wavelength,Intensity
Ca I,4227.918,0.140
Ca I,4260.636,0.544
Ca II,3934.777,0.134
Cr I,4255.534,0.341
Cr I,4276.000,0.469
Cr I,4290.924,0.322
Fe I,4045.040,0.577
Fe I,4046.955,0.146
Fe I,4064.848,0.181
Fe I,4072.670,0.201
Fe I,4144.583,0.632
Fe I,4172.077,0.647
Fe I,4250.780,0.749
Fe I,4271.076,0.555
Fe I,4326.978,0.242
H I,3971.195,0.131
H I,4102.892,0.346
H I,4341.684,0.384
H I,4862.683,0.243
H I,6564.610,0.302
He I,4010.390,0.706
He I,4144.928,0.323
He I,4389.162,0.655
He I,4472.729,0.766
He I,4923.305,0.814
He I,5049.146,0.747
He II,4026.739,0.617
He II,4201.015,0.677
He II,4339.891,0.581
He II,4860.677,0.702
He II,5413.030,0.733
Mg I,5168.761,0.371
Mg I,5174.125,0.273
Mg I,5185.048,0.267
Mg II,4482.383,0.742
N II,3995.373,0.714
N III,4641.940,0.800
O II,4416.138,0.310
Si II,4129.218,0.642
Si III,4553.898,0.709
Si IV,4117.265,0.758
Si IV,4486.960,0.796
