0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
Element,,,Ca I,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,H I,H I,H I,He I,He I,He I,He I,He I,He I,He II,He II,He II,He II,He II,Mg I,Mg I,Mg I,Mg II,N II,N III,O II,Si II,Si III,Si IV,Si IV
,Wavelength,,4227.918,4260.636,3934.777,4255.534,4276.0,4290.924,4045.04,4046.955,4064.848,4072.67,4144.583,4172.077,4250.78,4271.076,4326.978,3971.195,4102.892,4341.684,4862.683,6564.61,4010.39,4144.928,4389.162,4472.729,4923.305,5049.146,4026.739,4201.015,4339.891,4860.677,5413.03,5168.761,5174.125,5185.048,4482.383,3995.373,4641.94,4416.138,4129.218,4553.898,4117.265,4486.96
,,Intensity,0.14,0.544,0.134,0.341,0.469,0.322,0.577,0.146,0.181,0.201,0.632,0.647,0.749,0.555,0.242,0.131,0.346,0.384,0.243,0.302,0.706,0.323,0.655,0.766,0.814,0.747,0.617,0.677,0.581,0.702,0.733,0.371,0.273,0.267,0.742,0.714,0.8,0.31,0.642,0.709,0.758,0.796
Ca I,4227.918,0.14,,0.26,1.04,0.41,0.30,0.43,0.24,0.96,0.77,0.70,0.22,0.22,0.19,0.25,0.58,1.07,0.40,0.36,0.58,0.46,0.20,0.43,0.21,0.18,0.17,0.19,0.23,0.21,0.24,0.20,0.19,0.38,0.51,0.52,0.19,0.20,0.18,0.45,0.22,0.20,0.18,0.18
Ca I,4260.636,0.544,3.89,,4.06,1.60,1.16,1.69,0.94,3.73,3.01,2.71,0.86,0.84,0.73,0.98,2.25,4.15,1.57,1.42,2.24,1.80,0.77,1.68,0.83,0.71,0.67,0.73,0.88,0.80,0.94,0.77,0.74,1.47,1.99,2.04,0.73,0.76,0.68,1.75,0.85,0.77,0.72,0.68
Ca II,3934.777,0.134,0.96,0.25,,0.39,0.29,0.42,0.23,0.92,0.74,0.67,0.21,0.21,0.18,0.24,0.55,1.02,0.39,0.35,0.55,0.44,0.19,0.41,0.20,0.17,0.16,0.18,0.22,0.20,0.23,0.19,0.18,0.36,0.49,0.50,0.18,0.19,0.17,0.43,0.21,0.19,0.18,0.17
Cr I,4255.534,0.341,2.44,0.63,2.54,,0.73,1.06,0.59,2.34,1.88,1.70,0.54,0.53,0.46,0.61,1.41,2.60,0.99,0.89,1.40,1.13,0.48,1.06,0.52,0.45,0.42,0.46,0.55,0.50,0.59,0.49,0.47,0.92,1.25,1.28,0.46,0.48,0.43,1.10,0.53,0.48,0.45,0.43
Cr I,4276.0,0.469,3.35,0.86,3.50,1.38,,1.46,0.81,3.21,2.59,2.33,0.74,0.72,0.63,0.85,1.94,3.58,1.36,1.22,1.93,1.55,0.66,1.45,0.72,0.61,0.58,0.63,0.76,0.69,0.81,0.67,0.64,1.26,1.72,1.76,0.63,0.66,0.59,1.51,0.73,0.66,0.62,0.59
Cr I,4290.924,0.322,2.30,0.59,2.40,0.94,0.69,,0.56,2.21,1.78,1.60,0.51,0.50,0.43,0.58,1.33,2.46,0.93,0.84,1.33,1.07,0.46,1.00,0.49,0.42,0.40,0.43,0.52,0.48,0.55,0.46,0.44,0.87,1.18,1.21,0.43,0.45,0.40,1.04,0.50,0.45,0.42,0.40
Fe I,4045.04,0.577,4.12,1.06,4.31,1.69,1.23,1.79,,3.95,3.19,2.87,0.91,0.89,0.77,1.04,2.38,4.40,1.67,1.50,2.37,1.91,0.82,1.79,0.88,0.75,0.71,0.77,0.94,0.85,0.99,0.82,0.79,1.56,2.11,2.16,0.78,0.81,0.72,1.86,0.90,0.81,0.76,0.72
