Element,Wavelength,Intensity
C III,5697.496,0.580
Ca I,4227.918,0.688
Ca I,4260.636,0.116
Ca II,3934.777,0.438
Cr I,4255.534,0.643
Cr I,4276.000,0.558
Cr I,4290.924,0.502
Fe I,4046.955,0.533
Fe I,4064.848,0.445
Fe I,4072.670,0.429
Fe I,4172.077,0.537
Fe I,4250.780,0.533
Fe I,4271.076,0.653
Fe I,4326.978,0.256
Fe I,5259.046,0.547
H I,4341.684,0.562
H I,4862.683,0.427
He I,4027.322,0.578
He I,4121.973,0.327
He I,4389.162,0.354
He I,4472.729,0.255
He I,4714.458,0.399
He I,5017.077,0.496
He I,5049.146,0.237
He II,4101.198,0.661
He II,4201.015,0.505
He II,4339.891,0.681
He II,4542.864,0.205
He II,4687.020,0.374
Mg I,5174.125,0.298
Mg I,5185.048,0.673
Mg II,4482.383,0.607
N II,3995.373,0.382
N III,4635.420,0.535
N III,4641.940,0.565
O II,4416.138,0.674
Si II,4129.218,0.348
Si III,4553.898,0.596
Si IV,4090.016,0.512
Si IV,4117.265,0.402
Si IV,4486.960,0.412
Si IV,4505.340,0.530
