Element,Wavelength,Intensity
C III,5697.496,0.990
Ca I,4227.918,0.915
Ca I,4260.636,0.921
Ca II,3934.777,0.035
Cr I,4255.534,0.924
Cr I,4276.000,0.909
Cr I,4290.924,0.893
Fe I,4045.040,0.917
Fe I,4046.955,0.912
Fe I,4064.848,0.920
Fe I,4072.670,0.874
Fe I,4144.583,0.919
Fe I,4172.077,0.911
Fe I,4250.780,0.967
Fe I,4271.076,0.915
Fe I,4326.978,0.893
Fe I,4383.990,0.966
Fe I,5250.835,0.966
Fe I,5259.046,0.966
H I,3971.195,0.657
H I,4102.892,0.625
H I,4341.684,0.638
H I,4862.683,0.695
H I,6564.610,0.695
He I,4010.390,0.965
He I,4025.117,0.860
He I,4027.322,0.859
He I,4121.973,0.919
He I,4144.928,0.917
He I,4170.147,0.898
He I,4389.162,0.963
He I,4472.729,0.835
He I,4714.458,0.970
He I,4923.305,0.883
He I,5017.077,0.905
He I,5049.146,0.961
He I,5877.227,0.791
He II,4026.739,0.859
He II,4101.198,0.675
He II,4201.015,0.855
He II,4339.891,0.674
He II,4542.864,0.797
He II,4687.020,0.785
He II,4860.677,0.678
He II,5413.030,0.808
He II,5753.673,0.966
Mg I,5168.761,0.975
Mg I,5174.125,0.971
Mg I,5185.048,0.971
Mg II,4482.383,0.964
N II,3995.373,1.016
N III,4635.420,0.962
N III,4641.940,0.964
O II,4416.138,0.968
Si II,4129.218,0.974
Si III,4553.898,0.975
Si IV,4090.016,0.889
Si IV,4117.265,0.924
Si IV,4486.960,0.977
Si IV,4505.340,0.967
