Element,Wavelength,Intensity
C III,5697.496,0.995
Ca I,4227.918,0.936
Ca I,4260.636,0.978
Ca II,3934.777,0.903
Cr I,4255.534,0.940
Cr I,4276.000,0.939
Cr I,4290.924,0.988
Fe I,4045.040,0.929
Fe I,4046.955,0.940
Fe I,4064.848,0.938
Fe I,4072.670,0.934
Fe I,4144.583,0.942
Fe I,4172.077,1.006
Fe I,4250.780,0.986
Fe I,4271.076,0.940
Fe I,4326.978,0.973
Fe I,4383.990,1.005
Fe I,5250.835,0.990
Fe I,5259.046,0.993
H I,3971.195,0.333
H I,4102.892,0.673
H I,4341.684,0.665
H I,4862.683,0.634
H I,6564.610,0.665
He I,4010.390,0.918
He I,4025.117,0.892
He I,4027.322,0.821
He I,4121.973,0.942
He I,4144.928,0.942
He I,4170.147,0.936
He I,4389.162,0.925
He I,4472.729,0.882
He I,4714.458,0.915
He I,4923.305,0.903
He I,5017.077,0.907
He I,5049.146,0.940
He I,5877.227,0.874
He II,4026.739,0.821
He II,4101.198,0.762
He II,4201.015,0.850
He II,4339.891,0.760
He II,4542.864,0.839
He II,4687.020,0.835
He II,4860.677,0.815
He II,5413.030,0.839
He II,5753.673,0.973
Mg I,5168.761,0.977
Mg I,5174.125,0.979
Mg I,5185.048,0.991
Mg II,4482.383,0.933
N II,3995.373,0.920
N III,4635.420,0.996
N III,4641.940,0.991
O II,4416.138,0.995
Si II,4129.218,1.007
Si III,4553.898,0.984
Si IV,4090.016,0.892
Si IV,4117.265,0.941
Si IV,4486.960,0.973
Si IV,4505.340,0.985
