0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Element,,,C III,Ca I,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,H I,H I,H I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He I,He II,He II,He II,He II,He II,He II,He II,He II,He II,Mg I,Mg I,Mg I,Mg II,N II,N III,N III,O II,Si II,Si III,Si IV,Si IV,Si IV,Si IV
,Wavelength,,5697.496,4227.918,4260.636,3934.777,4255.534,4276.0,4290.924,4045.04,4046.955,4064.848,4072.67,4144.583,4172.077,4250.78,4271.076,4326.978,4383.99,5250.835,5259.046,3971.195,4102.892,4341.684,4862.683,6564.61,4010.39,4025.117,4027.322,4121.973,4144.928,4170.147,4389.162,4472.729,4714.458,4923.305,5017.077,5049.146,5877.227,4026.739,4101.198,4201.015,4339.891,4542.864,4687.02,4860.677,5413.03,5753.673,5168.761,5174.125,5185.048,4482.383,3995.373,4635.42,4641.94,4416.138,4129.218,4553.898,4090.016,4117.265,4486.96,4505.34
,,Intensity,0.995,0.936,0.978,0.903,0.94,0.939,0.988,0.929,0.94,0.938,0.934,0.942,1.006,0.986,0.94,0.973,1.005,0.99,0.993,0.333,0.673,0.665,0.634,0.665,0.918,0.892,0.821,0.942,0.942,0.936,0.925,0.882,0.915,0.903,0.907,0.94,0.874,0.821,0.762,0.85,0.76,0.839,0.835,0.815,0.839,0.973,0.977,0.979,0.991,0.933,0.92,0.996,0.991,0.995,1.007,0.984,0.892,0.941,0.973,0.985
C III,5697.496,0.995,,1.06,1.02,1.10,1.06,1.06,1.01,1.07,1.06,1.06,1.07,1.06,0.99,1.01,1.06,1.02,0.99,1.01,1.00,2.99,1.48,1.50,1.57,1.50,1.08,1.12,1.21,1.06,1.06,1.06,1.08,1.13,1.09,1.10,1.10,1.06,1.14,1.21,1.31,1.17,1.31,1.19,1.19,1.22,1.19,1.02,1.02,1.02,1.00,1.07,1.08,1.00,1.00,1.00,0.99,1.01,1.12,1.06,1.02,1.01
Ca I,4227.918,0.936,0.94,,0.96,1.04,1.00,1.00,0.95,1.01,1.00,1.00,1.00,0.99,0.93,0.95,1.00,0.96,0.93,0.95,0.94,2.81,1.39,1.41,1.48,1.41,1.02,1.05,1.14,0.99,0.99,1.00,1.01,1.06,1.02,1.04,1.03,1.00,1.07,1.14,1.23,1.10,1.23,1.12,1.12,1.15,1.12,0.96,0.96,0.96,0.94,1.00,1.02,0.94,0.94,0.94,0.93,0.95,1.05,0.99,0.96,0.95
Ca I,4260.636,0.978,0.98,1.04,,1.08,1.04,1.04,0.99,1.05,1.04,1.04,1.05,1.04,0.97,0.99,1.04,1.01,0.97,0.99,0.98,2.94,1.45,1.47,1.54,1.47,1.07,1.10,1.19,1.04,1.04,1.04,1.06,1.11,1.07,1.08,1.08,1.04,1.12,1.19,1.28,1.15,1.29,1.17,1.17,1.20,1.17,1.01,1.00,1.00,0.99,1.05,1.06,0.98,0.99,0.98,0.97,0.99,1.10,1.04,1.01,0.99
Ca II,3934.777,0.903,0.91,0.96,0.92,,0.96,0.96,0.91,0.97,0.96,0.96,0.97,0.96,0.90,0.92,0.96,0.93,0.90,0.91,0.91,2.71,1.34,1.36,1.42,1.36,0.98,1.01,1.10,0.96,0.96,0.96,0.98,1.02,0.99,1.00,1.00,0.96,1.03,1.10,1.19,1.06,1.19,1.08,1.08,1.11,1.08,0.93,0.92,0.92,0.91,0.97,0.98,0.91,0.91,0.91,0.90,0.92,1.01,0.96,0.93,0.92
Cr I,4255.534,0.94,0.94,1.00,0.96,1.04,,1.00,0.95,1.01,1.00,1.00,1.01,1.00,0.93,0.95,1.00,0.97,0.94,0.95,0.95,2.82,1.40,1.41,1.48,1.41,1.02,1.05,1.14,1.00,1.00,1.00,1.02,1.07,1.03,1.04,1.04,1.00,1.08,1.14,1.23,1.11,1.24,1.12,1.13,1.15,1.12,0.97,0.96,0.96,0.95,1.01,1.02,0.94,0.95,0.94,0.93,0.96,1.05,1.00,0.97,0.95
Cr I,4276.0,0.939,0.94,1.00,0.96,1.04,1.00,,0.95,1.01,1.00,1.00,1.01,1.00,0.93,0.95,1.00,0.97,0.93,0.95,0.95,2.82,1.40,1.41,1.48,1.41,1.02,1.05,1.14,1.00,1.00,1.00,1.02,1.06,1.03,1.04,1.04,1.00,1.07,1.14,1.23,1.10,1.24,1.12,1.12,1.15,1.12,0.97,0.96,0.96,0.95,1.01,1.02,0.94,0.95,0.94,0.93,0.95,1.05,1.00,0.97,0.95
Cr I,4290.924,0.988,0.99,1.06,1.01,1.09,1.05,1.05,,1.06,1.05,1.05,1.06,1.05,0.98,1.00,1.05,1.02,0.98,1.00,0.99,2.97,1.47,1.49,1.56,1.49,1.08,1.11,1.20,1.05,1.05,1.06,1.07,1.12,1.08,1.09,1.09,1.05,1.13,1.20,1.30,1.16,1.30,1.18,1.18,1.21,1.18,1.02,1.01,1.01,1.00,1.06,1.07,0.99,1.00,0.99,0.98,1.00,1.11,1.05,1.02,1.00
Fe I,4045.04,0.929,0.93,0.99,0.95,1.03,0.99,0.99,0.94,,0.99,0.99,0.99,0.99,0.92,0.94,0.99,0.95,0.92,0.94,0.94,2.79,1.38,1.40,1.47,1.40,1.01,1.04,1.13,0.99,0.99,0.99,1.00,1.05,1.02,1.03,1.02,0.99,1.06,1.13,1.22,1.09,1.22,1.11,1.11,1.14,1.11,0.95,0.95,0.95,0.94,1.00,1.01,0.93,0.94,0.93,0.92,0.94,1.04,0.99,0.95,0.94
