Element,Wavelength,Intensity
C III,5697.496,0.960
Ca I,4227.918,0.877
Ca I,4260.636,0.801
Ca II,3934.777,0.738
Cr I,4255.534,0.785
Cr I,4276.000,0.864
Cr I,4290.924,0.876
Fe I,4045.040,0.895
Fe I,4046.955,0.888
Fe I,4064.848,0.871
Fe I,4072.670,0.739
Fe I,4144.583,0.765
Fe I,4172.077,0.856
Fe I,4250.780,0.809
Fe I,4271.076,0.830
Fe I,4326.978,0.820
Fe I,4383.990,0.893
Fe I,5250.835,0.878
Fe I,5259.046,0.869
H I,3971.195,0.468
H I,4102.892,0.528
H I,4341.684,0.629
H I,4862.683,0.597
H I,6564.610,0.629
He I,4010.390,0.846
He I,4025.117,0.878
He I,4027.322,0.753
He I,4121.973,0.709
He I,4144.928,0.765
He I,4170.147,0.893
He I,4389.162,0.871
He I,4472.729,0.740
He I,4714.458,0.790
He I,4923.305,0.767
He I,5017.077,0.836
He I,5049.146,0.798
He I,5877.227,0.782
He II,4026.739,0.753
He II,4101.198,0.642
He II,4201.015,0.789
He II,4339.891,0.722
He II,4542.864,0.775
He II,4687.020,0.834
He II,4860.677,0.774
He II,5413.030,0.827
He II,5753.673,0.949
Mg I,5168.761,0.935
Mg I,5174.125,0.930
Mg I,5185.048,0.928
Mg II,4482.383,0.808
N II,3995.373,0.858
N III,4635.420,0.810
N III,4641.940,0.813
O II,4416.138,0.929
Si II,4129.218,0.796
Si III,4553.898,0.942
Si IV,4090.016,0.667
Si IV,4117.265,0.811
Si IV,4486.960,0.799
Si IV,4505.340,0.840
