Element,Wavelength,Intensity
C III,5697.496,0.995
Ca I,4227.918,1.003
Ca I,4260.636,0.999
Ca II,3934.777,0.345
Cr I,4255.534,0.908
Cr I,4276.000,0.912
Cr I,4290.924,0.950
Fe I,4045.040,0.991
Fe I,4046.955,0.988
Fe I,4064.848,0.943
Fe I,4072.670,0.794
Fe I,4144.583,0.934
Fe I,4172.077,1.000
Fe I,4250.780,0.994
Fe I,4271.076,0.998
Fe I,4326.978,0.913
Fe I,4383.990,0.999
Fe I,5250.835,0.995
Fe I,5259.046,0.989
H I,3971.195,0.532
H I,4102.892,0.664
H I,4341.684,0.663
H I,4862.683,0.638
H I,6564.610,0.575
He I,4010.390,0.944
He I,4025.117,0.938
He I,4027.322,0.798
He I,4121.973,0.766
He I,4144.928,0.934
He I,4170.147,0.905
He I,4389.162,0.927
He I,4472.729,0.860
He I,4714.458,0.710
He I,4923.305,0.913
He I,5017.077,0.692
He I,5049.146,0.846
He I,5877.227,0.946
He II,4026.739,0.886
He II,4101.198,0.761
He II,4201.015,0.893
He II,4339.891,0.765
He II,4542.864,0.893
He II,4687.020,0.871
He II,4860.677,0.744
He II,5413.030,0.890
He II,5753.673,0.992
Mg I,5168.761,0.992
Mg I,5174.125,0.993
Mg I,5185.048,0.992
Mg II,4482.383,0.950
N II,3995.373,0.934
N III,4635.420,0.908
N III,4641.940,0.890
O II,4416.138,0.905
Si II,4129.218,0.937
Si III,4553.898,0.866
Si IV,4090.016,0.584
Si IV,4117.265,0.663
Si IV,4486.960,0.997
Si IV,4505.340,0.990
