Element,Wavelength,Intensity
C III,5697.496,1.160
Ca I,4227.918,0.854
Ca I,4260.636,1.001
Ca II,3934.777,0.812
Cr I,4255.534,0.934
Cr I,4276.000,1.002
Cr I,4290.924,0.934
Fe I,4045.040,0.922
Fe I,4046.955,0.928
Fe I,4064.848,0.921
Fe I,4072.670,0.887
Fe I,4144.583,0.905
Fe I,4172.077,0.915
Fe I,4250.780,0.990
Fe I,4271.076,0.936
Fe I,4326.978,0.881
Fe I,4383.990,0.972
Fe I,5250.835,0.989
Fe I,5259.046,0.990
H I,3971.195,0.613
H I,4102.892,0.674
H I,4341.684,0.665
H I,4862.683,0.700
H I,6564.610,1.060
He I,4010.390,0.923
He I,4025.117,0.905
He I,4027.322,0.798
He I,4121.973,0.902
He I,4144.928,0.905
He I,4170.147,0.914
He I,4389.162,0.936
He I,4472.729,0.744
He I,4714.458,0.932
He I,4923.305,0.923
He I,5017.077,0.872
He I,5049.146,0.917
He I,5877.227,0.778
He II,4026.739,0.880
He II,4101.198,0.792
He II,4201.015,0.789
He II,4339.891,0.774
He II,4542.864,0.803
He II,4687.020,1.000
He II,4860.677,0.839
He II,5413.030,0.792
He II,5753.673,0.973
Mg I,5168.761,0.986
Mg I,5174.125,0.990
Mg I,5185.048,0.969
Mg II,4482.383,0.849
N II,3995.373,0.911
N III,4635.420,1.074
N III,4641.940,1.099
O II,4416.138,1.012
Si II,4129.218,0.918
Si III,4553.898,0.931
Si IV,4090.016,0.862
Si IV,4117.265,0.889
Si IV,4486.960,0.882
Si IV,4505.340,0.860
