0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
Element,,,Ca I,Ca I,Ca II,Cr I,Cr I,Cr I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,Fe I,H I,H I,H I,H I,H I,He I,He I,He I,He I,He I,He I,He II,He II,He II,He II,He II,Mg I,Mg I,Mg I,Mg II,O II,Si II,Si III
,Wavelength,,'4226,1','4260,636','3934,777','4255,534',4276,'4290,924','4045,04','4046,955','4064,848','4072,67','4144,583','4215,539','4260,55','4271,076','4326,978','3971,195','4102,892','4341,684','4862,683','6564,61','4010,39','4121,973','4144,928','4389,162','5017,077','5049,146','4026,739','4201,015','4339,891','4860,677','5413,03','5168,761','5174,125','5185,048','4482,383','4416,138','4129,218','4553,898'
,,Intensity,'0,675','0,694','0,08','0,472','0,5','0,43','0,602','0,177','0,224','0,242','0,334','0,756','0,694','0,647','0,255','0,136','0,341','0,288','0,216','0,215','0,718','0,792','0,334','0,739','0,827','0,806','0,665','0,759','0,594','0,622','0,749','0,422','0,367','0,36','0,798','0,406','0,616','0,766'
Ca I,'4226,1','0,675',,'0,97','8,44','1,43','1,35','1,57','1,12','3,81','3,01','2,79','2,02','0,89','0,97','1,04','2,65','4,96','1,98','2,34','3,13','3,14','0,94','0,85','2,02','0,91','0,82','0,84','1,02','0,89','1,14','1,09','0,9','1,6','1,84','1,88','0,85','1,66','1,1','0,88'
Ca I,'4260,636','0,694','1,03',,'8,67','1,47','1,39','1,61','1,15','3,92','3,1','2,87','2,08','0,92',1,'1,07','2,72','5,1','2,04','2,41','3,21','3,23','0,97','0,88','2,08','0,94','0,84','0,86','1,04','0,91','1,17','1,12','0,93','1,64','1,89','1,93','0,87','1,71','1,13','0,91'
Ca II,'3934,777','0,08','0,12','0,12',,'0,17','0,16','0,19','0,13','0,45','0,36','0,33','0,24','0,11','0,12','0,12','0,31','0,59','0,23','0,28','0,37','0,37','0,11','0,1','0,24','0,11','0,1','0,1','0,12','0,11','0,13','0,13','0,11','0,19','0,22','0,22','0,1','0,2','0,13','0,1'
Cr I,'4255,534','0,472','0,7','0,68','5,9',,'0,94','1,1','0,78','2,67','2,11','1,95','1,41','0,62','0,68','0,73','1,85','3,47','1,38','1,64','2,19','2,2','0,66','0,6','1,41','0,64','0,57','0,59','0,71','0,62','0,79','0,76','0,63','1,12','1,29','1,31','0,59','1,16','0,77','0,62'
Cr I,4276,'0,5','0,74','0,72','6,25','1,06',,'1,16','0,83','2,82','2,23','2,07','1,5','0,66','0,72','0,77','1,96','3,68','1,47','1,74','2,31','2,33','0,7','0,63','1,5','0,68','0,6','0,62','0,75','0,66','0,84','0,8','0,67','1,18','1,36','1,39','0,63','1,23','0,81','0,65'
Cr I,'4290,924','0,43','0,64','0,62','5,38','0,91','0,86',,'0,71','2,43','1,92','1,78','1,29','0,57','0,62','0,66','1,69','3,16','1,26','1,49','1,99',2,'0,6','0,54','1,29','0,58','0,52','0,53','0,65','0,57','0,72','0,69','0,57','1,02','1,17','1,19','0,54','1,06','0,7','0,56'
Fe I,'4045,04','0,602','0,89','0,87','7,52','1,28','1,2','1,4',,'3,4','2,69','2,49','1,8','0,8','0,87','0,93','2,36','4,43','1,77','2,09','2,79','2,8','0,84','0,76','1,8','0,81','0,73','0,75','0,91','0,79','1,01','0,97','0,8','1,43','1,64','1,67','0,75','1,48','0,98','0,79'
Fe I,'4046,955','0,177','0,26','0,26','2,21','0,38','0,35','0,41','0,29',,'0,79','0,73','0,53','0,23','0,26','0,27','0,69','1,3','0,52','0,61','0,82','0,82','0,25','0,22','0,53','0,24','0,21','0,22','0,27','0,23','0,3','0,28','0,24','0,42','0,48','0,49','0,22','0,44','0,29','0,23'
Fe I,'4064,848','0,224','0,33','0,32','2,8','0,47','0,45','0,52','0,37','1,27',,'0,93','0,67','0,3','0,32','0,35','0,88','1,65','0,66','0,78','1,04','1,04','0,31','0,28','0,67','0,3','0,27','0,28','0,34','0,3','0,38','0,36','0,3','0,53','0,61','0,62','0,28','0,55','0,36','0,29'
Fe I,'4072,67','0,242','0,36','0,35','3,02','0,51','0,48','0,56','0,4','1,37','1,08',,'0,72','0,32','0,35','0,37','0,95','1,78','0,71','0,84','1,12','1,13','0,34','0,31','0,72','0,33','0,29','0,3','0,36','0,32','0,41','0,39','0,32','0,57','0,66','0,67','0,3','0,6','0,39','0,32'
Fe I,'4144,583','0,334','0,49','0,48','4,17','0,71','0,67','0,78','0,55','1,89','1,49','1,38',,'0,44','0,48','0,52','1,31','2,46','0,98','1,16','1,55','1,55','0,47','0,42',1,'0,45','0,4','0,41','0,5','0,44','0,56','0,54','0,45','0,79','0,91','0,93','0,42','0,82','0,54','0,44'
Fe I,'4215,539','0,756','1,12','1,09','9,45','1,6','1,51','1,76','1,26','4,27','3,38','3,12','2,26',,'1,09','1,17','2,96','5,56','2,22','2,62','3,5','3,52','1,05','0,95','2,26','1,02','0,91','0,94','1,14',1,'1,27','1,22','1,01','1,79','2,06','2,1','0,95','1,86','1,23','0,99'
Fe I,'4260,55','0,694','1,03',1,'8,67','1,47','1,39','1,61','1,15','3,92','3,1','2,87','2,08','0,92',,'1,07','2,72','5,1','2,04','2,41','3,21','3,23','0,97','0,88','2,08','0,94','0,84','0,86','1,04','0,91','1,17','1,12','0,93','1,64','1,89','1,93','0,87','1,71','1,13','0,91'
